street_name,avgdist_nearestMRT
TAMPINES AVE 5,0.719923333
TAMPINES AVE 7,1.338407654
TAMPINES AVE 8,1.644157055
TAMPINES AVE 9,1.297321994
TAMPINES CTRL 1,0.281015028
TAMPINES CTRL 7,0.816563033
TAMPINES ST 11,0.674568429
TAMPINES ST 12,0.38764735
TAMPINES ST 21,0.491678263
TAMPINES ST 22,0.738874771
TAMPINES ST 23,0.96535822
TAMPINES ST 24,0.82808074
TAMPINES ST 32,1.292147934
TAMPINES ST 33,1.319797293
TAMPINES ST 34,1.719020599
TAMPINES ST 41,0.652937892
TAMPINES ST 42,0.982755807
TAMPINES ST 43,1.081179551
TAMPINES ST 44,1.287268248
TAMPINES ST 45,1.501384868
TAMPINES ST 71,1.158343228
TAMPINES ST 72,1.382778932
TAMPINES ST 81,1.347606221
TAMPINES ST 82,0.983521388
TAMPINES ST 83,1.199665293
TAMPINES ST 84,1.453032204
TAMPINES ST 91,0.873336121
TANGLIN HALT RD,0.460101306
TAO CHING RD,1.286836708
TEBAN GDNS RD,1.374844123
TECK WHYE AVE,0.963258591
TECK WHYE LANE,0.996676037
TELOK BLANGAH CRES,1.18757132
TELOK BLANGAH DR,0.3141796
TELOK BLANGAH HTS,0.580386786
TELOK BLANGAH RISE,0.730657077
TELOK BLANGAH ST 31,0.453462447
TELOK BLANGAH WAY,0.911262127
TESSENSOHN RD,0.257325663
TG PAGAR PLAZA,0.495216688
TIONG BAHRU RD,0.482580491
TOA PAYOH CTRL,0.317696233
TOA PAYOH EAST,1.141580794
TOA PAYOH NTH,0.278862562
TOH GUAN RD,0.835142431
TOH YI DR,0.419133207
TOWNER RD,0.172270222
UBI AVE 1,0.862502826
UPP ALJUNIED LANE,0.939103657
UPP BOON KENG RD,0.411497488
UPP CROSS ST,0.274957688
UPP SERANGOON RD,0.477250184
VEERASAMY RD,0.407832767
WATERLOO ST,0.229965701
WELLINGTON CIRCLE,0.452888957
WEST COAST DR,0.626380697
WEST COAST RD,0.986336557
WHAMPOA DR,0.73976037
WHAMPOA RD,0.886246677
WHAMPOA STH,0.651514723
WHAMPOA WEST,0.199711161
WOODLANDS AVE 1,0.629131859
WOODLANDS AVE 3,0.665046779
WOODLANDS AVE 4,0.889794984
WOODLANDS AVE 5,0.399403649
WOODLANDS AVE 6,0.475446594
WOODLANDS AVE 9,1.036155349
WOODLANDS CIRCLE,0.590043802
WOODLANDS CRES,0.611734661
WOODLANDS CTR RD,1.074972768
WOODLANDS DR 14,0.665993148
WOODLANDS DR 16,1.184557754
WOODLANDS DR 40,0.494275631
WOODLANDS DR 42,0.546513017
WOODLANDS DR 44,1.041994073
WOODLANDS DR 50,0.590061521
WOODLANDS DR 52,0.7665619
WOODLANDS DR 53,1.028329033
WOODLANDS DR 60,0.70172211
WOODLANDS DR 62,0.314332219
WOODLANDS DR 70,0.298368257
WOODLANDS DR 71,0.21772954
WOODLANDS DR 72,0.440328188
WOODLANDS DR 73,0.535440854
WOODLANDS DR 75,0.847131828
WOODLANDS RING RD,0.491262774
WOODLANDS ST 11,0.266979869
WOODLANDS ST 13,0.379427139
WOODLANDS ST 31,0.286259708
WOODLANDS ST 32,0.649516302
WOODLANDS ST 41,0.503369507
WOODLANDS ST 81,0.531244696
WOODLANDS ST 82,0.829766975
WOODLANDS ST 83,0.70113178
YISHUN AVE 11,1.30074451
YISHUN AVE 2,0.473902006
YISHUN AVE 3,0.628083501
YISHUN AVE 4,0.822211019
YISHUN AVE 5,0.596186202
YISHUN AVE 6,1.43429272
YISHUN AVE 7,0.941803745
YISHUN AVE 9,1.023641089
YISHUN CTRL,0.662307638
YISHUN CTRL 1,0.410985448
YISHUN RING RD,0.749525063
YISHUN ST 11,0.511576462
YISHUN ST 20,0.729657337
YISHUN ST 21,0.451556408
YISHUN ST 22,0.972435155
YISHUN ST 41,1.374744146
YISHUN ST 61,0.585128851
YISHUN ST 71,0.698875877
YISHUN ST 72,0.332289039
YISHUN ST 81,0.417791923
YUAN CHING RD,1.002435323
YUNG AN RD,0.891326804
YUNG HO RD,1.891114723
YUNG KUANG RD,1.490503107
YUNG LOH RD,1.780950942
YUNG PING RD,1.603092764
YUNG SHENG RD,1.197189049
ZION RD,0.872420593
